    ID,"Nama Peserta",Email,"Nama Event","Harga Tiket","Status Pembayaran","Jumlah Dibayar","Status Registrasi","Tanggal Registrasi","Status Kehadiran","Status Sertifikat","Token Sent At"
6,Meita,meitantifadilah71@gmail.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"12/09/2025 02:00",Hadir,"Sudah Diterbitkan","12/09/2025 02:00"
54,"Peserta Dummy 1",dummy1@example.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"23/10/2025 01:41",Hadir,"Sudah Diterbitkan","10/11/2025 01:41"
55,"Peserta Dummy 2",dummy2@example.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"03/11/2025 01:41",Hadir,"Sudah Diterbitkan","10/11/2025 01:41"
56,"Peserta Dummy 3",dummy3@example.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"13/10/2025 01:41",Hadir,"Sudah Diterbitkan","10/11/2025 01:41"
57,"Peserta Dummy 6",dummy6@example.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"13/10/2025 01:41","Tidak Hadir","Belum Diterbitkan","10/11/2025 01:41"
58,"Peserta Dummy 8",dummy8@example.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"12/10/2025 01:41",Hadir,"Sudah Diterbitkan","10/11/2025 01:41"
59,"Peserta Dummy 9",dummy9@example.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"21/10/2025 01:41","Tidak Hadir","Belum Diterbitkan","10/11/2025 01:41"
60,"Peserta Dummy 10",dummy10@example.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"30/10/2025 01:41","Tidak Hadir","Belum Diterbitkan","10/11/2025 01:41"
61,"Peserta Dummy 11",dummy11@example.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"21/10/2025 01:41",Hadir,"Belum Diterbitkan","10/11/2025 01:41"
62,"Peserta Dummy 13",dummy13@example.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"12/10/2025 01:41","Tidak Hadir","Belum Diterbitkan","10/11/2025 01:41"
63,"Peserta Dummy 14",dummy14@example.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"09/11/2025 01:41",Hadir,"Sudah Diterbitkan","10/11/2025 01:41"
64,"Peserta Dummy 22",dummy22@example.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"28/10/2025 01:41","Tidak Hadir","Belum Diterbitkan","10/11/2025 01:41"
65,"Peserta Dummy 23",dummy23@example.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"22/10/2025 01:41",Hadir,"Belum Diterbitkan","10/11/2025 01:41"
66,"Peserta Dummy 26",dummy26@example.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"12/10/2025 01:41",Hadir,"Sudah Diterbitkan","10/11/2025 01:41"
67,"Peserta Dummy 27",dummy27@example.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"18/10/2025 01:41",Hadir,"Sudah Diterbitkan","10/11/2025 01:41"
68,"Peserta Dummy 29",dummy29@example.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"20/10/2025 01:41",Hadir,"Sudah Diterbitkan","10/11/2025 01:41"
69,"Peserta Dummy 31",dummy31@example.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"14/10/2025 01:41",Hadir,"Sudah Diterbitkan","10/11/2025 01:41"
70,"Peserta Dummy 32",dummy32@example.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"14/10/2025 01:41","Tidak Hadir","Belum Diterbitkan","10/11/2025 01:41"
71,"Peserta Dummy 34",dummy34@example.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"07/11/2025 01:41",Hadir,"Sudah Diterbitkan","10/11/2025 01:41"
72,"Peserta Dummy 36",dummy36@example.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"09/11/2025 01:41",Hadir,"Sudah Diterbitkan","10/11/2025 01:41"
73,"Peserta Dummy 38",dummy38@example.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"26/10/2025 01:41",Hadir,"Sudah Diterbitkan","10/11/2025 01:41"
74,"Peserta Dummy 39",dummy39@example.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"07/11/2025 01:41",Hadir,"Sudah Diterbitkan","10/11/2025 01:41"
75,"Peserta Dummy 40",dummy40@example.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"03/11/2025 01:41",Hadir,"Belum Diterbitkan","10/11/2025 01:41"
76,"Peserta Dummy 43",dummy43@example.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"02/11/2025 01:41",Hadir,"Sudah Diterbitkan","10/11/2025 01:41"
77,"Peserta Dummy 44",dummy44@example.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"11/10/2025 01:41","Tidak Hadir","Belum Diterbitkan","10/11/2025 01:41"
78,"Peserta Dummy 45",dummy45@example.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"09/11/2025 01:41",Hadir,"Belum Diterbitkan","10/11/2025 01:41"
79,"Peserta Dummy 50",dummy50@example.com,"Seminar Teknologi AI - Certificate Test",Gratis,"Belum Bayar","Rp 0",registered,"16/10/2025 01:41","Tidak Hadir","Belum Diterbitkan","10/11/2025 01:41"

RINGKASAN
"Total Peserta",27
"Total Peserta Berbayar",0
"Total Pendapatan","Rp 0"
